# ITO - d=165.00nm, RMS=0.089128
# λ(nm)  T_exp  T_calc  Residual
8.110000e+02 8.282000e-01 9.485544e-01 1.203544e-01
8.120000e+02 8.280000e-01 9.478641e-01 1.198641e-01
8.130000e+02 8.278000e-01 9.471680e-01 1.193680e-01
8.140000e+02 8.277000e-01 9.464664e-01 1.187664e-01
8.150000e+02 8.276000e-01 9.457598e-01 1.181598e-01
8.160000e+02 8.274000e-01 9.450486e-01 1.176486e-01
8.170000e+02 8.273000e-01 9.443333e-01 1.170333e-01
8.180000e+02 8.271000e-01 9.436141e-01 1.165141e-01
8.190000e+02 8.270000e-01 9.428916e-01 1.158916e-01
8.200000e+02 8.269000e-01 9.421660e-01 1.152660e-01
8.210000e+02 8.267000e-01 9.414379e-01 1.147379e-01
8.220000e+02 8.266000e-01 9.407076e-01 1.141076e-01
8.230000e+02 8.265000e-01 9.399754e-01 1.134754e-01
8.240000e+02 8.264000e-01 9.392418e-01 1.128418e-01
8.250000e+02 8.262000e-01 9.385071e-01 1.123071e-01
8.260000e+02 8.262000e-01 9.377718e-01 1.115718e-01
8.270000e+02 8.261000e-01 9.370361e-01 1.109361e-01
