ESTIMATED THICKNESSES NOBS=195
Thickness of film 1 = 170.00 nm

ESTIMATED INFLEXION POINTS

Inflexion point of the absorption coefficient of film 1 = 850.00 nm

ESTIMATED REFRACTIVE INDICES AND ABSORPTION COEFFICIENTS

Film 1

lambda                     n                          kappa
9.16494845360824797353e+02 8.20841876646887680380e-01
9.19587628865979354487e+02 8.20724323803906363750e-01
9.22680412371134025307e+02 8.20612980611474251980e-01
9.25773195876288696127e+02 8.20508036621880432193e-01
9.28865979381443366947e+02 8.20409669847870892667e-01
9.31958762886597924080e+02 8.20318047179816600689e-01
9.35051546391752594900e+02 8.20233324791939111265e-01
9.38144329896907265720e+02 8.20155648537644110796e-01
9.41237113402061822853e+02 8.20085154334021959599e-01
9.44329896907216493673e+02 8.20021968535601164518e-01
9.47422680412371164493e+02 8.19966208297467580302e-01
9.50515463917525835313e+02 8.19917981927858918745e-01
9.53608247422680392447e+02 8.19877389230378783580e-01
9.56701030927835063267e+02 8.19844521835976891566e-01
9.59793814432989734087e+02 8.19819463524853464520e-01
9.62886597938144404907e+02 8.19802290538458544589e-01
9.65979381443298962040e+02 8.19793071881768309339e-01
9.69072164948453632860e+02 8.19791869616011692479e-01
9.72164948453608303680e+02 8.19798739142058030538e-01
9.75257731958762860813e+02 8.19813729474642260975e-01
9.78350515463917531633e+02 8.19836883507636726698e-01
9.81443298969072202453e+02 8.19868238270576643600e-01
9.84536082474226873273e+02 8.19907825176636406717e-01
9.87628865979381430407e+02 8.19955670262265789994e-01
9.90721649484536101227e+02 8.20011794418699646592e-01
9.93814432989690772047e+02 8.20076213615535509760e-01
9.96907216494845329180e+02 8.20148939116607023081e-01
1.00000000000000000000e+03 8.20229977688334610519e-01


QUADRATIC ERROR = 5.743690e-03
